qid,original_id,topic,board_clue,correct_answer,common_trap,why_trap_is_wrong
353,355.1,General,A 52-year-old woman comes to the clinic for evaluation of worsening fatigue and leg cramps over the past two weeks.,Increased distal potassium secretion due to enhanced aldosterone effect,Decreased Na⁺ delivery to the cortical collecting duct,"Similar-looking mechanism/class, but not the best match for the board clue."
354,356.1,General,"A 30-year-old man presents for a follow-up visit two days after returning from a hiking trip in the Rocky Mountains, where he spent a week at elevations above 10,000 feet.","↑ Urinary bicarbonate, ↑ urine pH, ↑ urinary volume","↓ Urinary bicarbonate, ↓ urine pH, ↓ urinary volume","Similar-looking mechanism/class, but not the best match for the board clue."
355,357.1,General,"A 30-year-old man presents to a rural urgent care clinic in Colorado with headache, fatigue, and lightheadedness.",Administer acetazolamide,Begin empirical antibiotic therapy,"Similar-looking mechanism/class, but not the best match for the board clue."
356,358.1,General,A 26-year-old woman comes to the clinic for evaluation of absent menses.,Progesterone withdrawal causes spiral artery constriction and endometrial necrosis,Endometrial shedding is triggered by increasing follicular estrogen levels,"Similar-looking mechanism/class, but not the best match for the board clue."
357,359.1,General,A 45-year-old woman comes to the clinic for follow-up after being diagnosed with type II diabetes mellitus three months ago.,"↑ Ejection fraction, ↑ heart rate, ↑ renal efferent arteriolar diameter, ↓ systemic vascular resistance","↑ Ejection fraction, ↑ heart rate, ↓ renal efferent arteriolar diameter, ↓ systemic vascular resistance","Similar-looking mechanism/class, but not the best match for the board clue."
358,360.1,General,A 50-year-old man is being evaluated in clinic two weeks after starting a new medication for essential tremor.,"↓ Cardiac output, ↑ LV end-diastolic volume, ↑ systemic vascular resistance","↓ Cardiac output, ↓ LV end-diastolic volume, ↓ systemic vascular resistance","Similar-looking mechanism/class, but not the best match for the board clue."
359,361.1,General,A 55-year-old man presents to clinic for routine follow-up of his recently diagnosed ischemic heart disease.,"↓ Cardiac output, ↑ heart rate, ↓ venous return","↓ Cardiac output, ↓ heart rate, ↓ venous return","Similar-looking mechanism/class, but not the best match for the board clue."
360,362.1,General,A 55-year-old man presents for follow-up evaluation of his angina symptoms.,"↓ Venous return, ↑ heart rate, ↓ cardiac output","↓ Venous return, ↓ heart rate, ↑ cardiac output","Similar-looking mechanism/class, but not the best match for the board clue."
361,363.1,General,A 42-year-old woman comes to clinic for follow-up after recent diagnosis of Raynaud phenomenon.,"↓ systemic vascular resistance, ↑ heart rate, ↑ left ventricular ejection fraction","↓ systemic vascular resistance, ↓ heart rate, ↑ left ventricular ejection fraction","Similar-looking mechanism/class, but not the best match for the board clue."
362,364.1,General,A 42-year-old woman presents to clinic for follow-up after starting a new medication for Raynaud phenomenon.,Reassure the patient and continue nifedipine,Add metoprolol,"Similar-looking mechanism/class, but not the best match for the board clue."
363,1.1,General,A 62-year-old man with hypertension and diabetic nephropathy is started on lisinopril during a routine primary care visit.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
364,1.3,General,"mg/dL), and potassium is",,,"Similar-looking mechanism/class, but not the best match for the board clue."
365,367.1,General,A 45-year-old woman is scheduled for surgical resection of a right adrenal mass discovered during evaluation of paroxysmal hypertension.,Decreased systemic vascular resistance,Decreased heart rate via baroreceptor reflex,"Similar-looking mechanism/class, but not the best match for the board clue."
366,368.1,General,A 29-year-old woman presents for evaluation of infertility.,Binds estrogen receptors in the hypothalamus and blocks negative feedback signaling,"Acts as an estrogen agonist at pituitary estrogen receptors, enhancing LH secretion","Similar-looking mechanism/class, but not the best match for the board clue."
367,369.1,General,A 61-year-old man is brought to emergency by ambulance for sudden loss of consciousness while engaged in sexual activity with his wife.,Prevents breakdown of cGMP,Prevents breakdown of cAMP,"Similar-looking mechanism/class, but not the best match for the board clue."
368,370.1,General,A 63-year-old woman comes to the physician for a routine health maintenance examination.,Saxagliptin,Acarbose,"Similar-looking mechanism/class, but not the best match for the board clue."
369,371.1,General,A 69-year-old man with a 7-year history of Parkinson disease is enrolled in a clinical trial evaluating the cognitive and motor effects of a novel adjunct therapy.,Norepinephrine,Acetylcholine,"Similar-looking mechanism/class, but not the best match for the board clue."
370,372.1,General,A 29-year-old woman comes to the clinic because of a 6-month history of intermittent shortness of breath and episodes of chest tightness.,Arachidonic acid,Histamine,"Similar-looking mechanism/class, but not the best match for the board clue."
371,373.1,General,A 64-year-old man presents to the emergency department with severe shortness of breath that developed suddenly over the past several hours.,Increased urine flow,Decreased cardiac output,"Similar-looking mechanism/class, but not the best match for the board clue."
372,374.1,General,A 67-year-old postmenopausal woman comes to the clinic for follow-up of bone density testing.,Inducing osteoclast apoptosis,Activation of estrogen receptors in bone,"Similar-looking mechanism/class, but not the best match for the board clue."
373,375.1,General,"Renal epithelial cells isolated from various segments of the nephron are exposed to phytochlorothiazide, a compound structurally similar to hydrochlorothiazide.",Na⁺/Cl⁻ symporter,Aquaporin-2,"Similar-looking mechanism/class, but not the best match for the board clue."
374,376.1,General,"A 42-year-old man comes to the clinic in early summer due to 3 weeks of intermittent eye redness, itching, and watery discharge.",Capillary permeability,IgE crosslinking,"Similar-looking mechanism/class, but not the best match for the board clue."
375,377.1,General,A 72-year-old man is admitted to the hospital for evaluation of abdominal pain and is started on metoclopramide for nausea.,Anti-cholinergic,Anti-dopaminergic,"Similar-looking mechanism/class, but not the best match for the board clue."
376,378.1,General,A 33-year-old woman comes to the clinic due to progressive headaches and decreased peripheral vision over the past 3 months.,Bromocriptine therapy,CT scan of the brain,"Similar-looking mechanism/class, but not the best match for the board clue."
377,379.1,General,A 40-year-old man with no significant medical history is undergoing emergency open reduction and internal fixation of a femoral fracture following a motorcycle accident.,Pseudocholinesterase,Acetylcholinesterase,"Similar-looking mechanism/class, but not the best match for the board clue."
378,380.1,General,"A 27-year-old woman is brought to the clinic by her sister due to several months of restlessness, irritability, and insomnia.","↓ TSH, ↑ T3, ↓ T4, ↓ 131I uptake","↓ TSH, ↑ T3, ↑ T4, ↑ 131I uptake","Similar-looking mechanism/class, but not the best match for the board clue."
379,381.1,General,"A 30-year-old woman is brought to the clinic by her roommate due to anxiety, excessive sweating, and mood changes.","↓ TSH, ↑ T3, ↑ T4, ↓ 131I uptake","↓ TSH, ↑ T3, ↓ T4, ↓ 131I uptake","Similar-looking mechanism/class, but not the best match for the board clue."
380,382.1,General,"A 40-year-old woman comes to the clinic with complaints of persistent thirst, heat intolerance, and increased frequency of urination over the past few weeks.","↓ TSH, ↑ T3, ↑ T4, ↓ 131I uptake, ↓ tonicity of medullary collecting duct, ↑ ADH","↑ TSH, ↓ T3, ↓ T4, ↓ 131I uptake, ↑ tonicity of medullary collecting duct, ↓ ADH","Similar-looking mechanism/class, but not the best match for the board clue."
381,383.1,General,A 72-year-old woman comes to the clinic due to persistent jaw pain for the past 3 months.,Avascular necrosis with empty osteocyte lacunae,Granulomatous inflammation with caseating necrosis,"Similar-looking mechanism/class, but not the best match for the board clue."
382,6.2,General,A 31-year-old woman presents to her primary care physician due to several days of worsening skin irritation and yellowing of her eyes.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
383,5.5,General,mg/dL Alkaline phosphatase 380 U/L GGT 126 U/L,,,"Similar-looking mechanism/class, but not the best match for the board clue."
384,386.1,General,"A 33-year-old man is brought to the emergency department by his roommate, who found him unresponsive on the couch approximately 10 hours ago.",Acute kidney injury,Compartment syndrome,"Similar-looking mechanism/class, but not the best match for the board clue."
385,2.1,General,A 74-year-old man is brought to the emergency department by his son due to confusion and decreased urine output over the past 2 days.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
386,387.1,General,,Glomerulonephritis,Acute tubular necrosis,"Similar-looking mechanism/class, but not the best match for the board clue."
387,389.1,General,A 57-year-old woman comes to the clinic for evaluation of abnormal uterine bleeding.,Endometrial hyperplasia,Atrophic endometrium,"Similar-looking mechanism/class, but not the best match for the board clue."
388,390.1,General,"A 63-year-old woman comes to the outpatient clinic due to progressive fatigue, worsening lower extremity weakness, and weight gain over the past year.","↓ ACTH, ↓ cortisol","↓ ACTH, ↑ cortisol","Similar-looking mechanism/class, but not the best match for the board clue."
389,391.1,General,A 42-year-old man comes to the clinic due to persistent excessive thirst and frequent urination that has worsened over the past several months.,"↔ PCT, ↓ JGA, ↓ MCD","↑ PCT, ↑ JGA, ↑ MCD","Similar-looking mechanism/class, but not the best match for the board clue."
390,392.1,General,A 39-year-old woman presents to the clinic for routine follow-up.,"↓ ACTH, ↓ Cortisol","↑ ACTH, ↑ Cortisol","Similar-looking mechanism/class, but not the best match for the board clue."
391,393.1,General,A 24-year-old woman presents to the clinic for follow-up of her bipolar disorder.,"↔ PCT, ↓ JGA, ↓ MCD","↑ PCT, ↑ JGA, ↑ MCD","Similar-looking mechanism/class, but not the best match for the board clue."
392,394.1,General,A 47-year-old woman comes to the clinic for evaluation of chronic fatigue and increased thirst.,↔ Urine volume; ↔ urine osmolality,↓ Urine volume; ↑ urine osmolality,"Similar-looking mechanism/class, but not the best match for the board clue."
393,395.1,General,A 24-year-old man is enrolled in a clinical research study evaluating intracranial pressure–lowering therapies.,"↑ ADH, ↑ serum osmolality","↓ ADH, ↓ serum osmolality","Similar-looking mechanism/class, but not the best match for the board clue."
394,396.1,General,A 38-year-old woman presents to the gynecology clinic due to intermittent light vaginal bleeding over the past six weeks.,Unopposed estrogen stimulation,Decreased follicle-stimulating hormone release,"Similar-looking mechanism/class, but not the best match for the board clue."
395,397.1,General,A 50-year-old man presents for evaluation of new skin changes.,Weakening of dermal collagen and capillary walls with microbleeding into the skin as a result of medication,ACTH-secreting pituitary adenoma,"Similar-looking mechanism/class, but not the best match for the board clue."
396,398.1,General,A 34-year-old woman comes to the obstetrics clinic for evaluation after missing two menstrual periods.,Fetal renal hemodynamics,Fetal cardiac septation,"Similar-looking mechanism/class, but not the best match for the board clue."
397,0.9,General,A 45-year-old man is brought to the clinic by his wife because of progressive swelling in his lower legs and increasing fatigue over the past month.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
398,2.2,General,"g/dL Urinalysis shows 4+ protein, no red blood cells, no white blood cells and no casts.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
399,1.1,General,A 59-year-old man comes to the clinic for follow-up of his chronic conditions.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
400,401.1,General,,Begin amlodipine therapy,Begin atenolol therapy,"Similar-looking mechanism/class, but not the best match for the board clue."
401,1.5,General,g daily,"58-year-old man comes to the clinic due to a persistent dry cough that began 2 weeks ago. He started lisinopril for hypertension 6 weeks ago. He has no fever, sputum production, or recent illness. He denies shortness of breath, wheezing, or chest pain. His past medical history includes type 2 diabetes mellitus, hyperlipidemia, and stage 1 chronic kidney disease. He takes metformin, atorvastatin, and aspirin. His blood pressure today is 138/84 mm Hg, and physical examination is unremarkable. Chest auscultation reveals normal breath sounds without wheezes or crackles. Oxygen saturation is 98% on room air. A chest x-ray obtained 1 week ago at an urgent care visit was normal. Which of the following is the most appropriate next step in management?",Schedule a follow-up visit in 4 months,"Similar-looking mechanism/class, but not the best match for the board clue."
402,404.1,General,A 60-year-old man presents to the emergency department with sudden-onset hematemesis.,Administer intravenous octreotide,Administer intravenous omeprazole,"Similar-looking mechanism/class, but not the best match for the board clue."
403,405.1,General,"A 56-year-old man comes to the clinic due to progressive exertional dyspnea, leg swelling, and mild abdominal discomfort over the past 4 months.",Bosentan,Albuterol,"Similar-looking mechanism/class, but not the best match for the board clue."
404,406.1,General,"A 48-year-old woman comes to the physician because of severe, recurrent episodes of sharp facial pain for the past 3 months.",Carbamazepine,Amitriptyline,"Similar-looking mechanism/class, but not the best match for the board clue."
405,407.1,General,A 60-year-old man is admitted for management of severe hypertension that has not responded to oral therapy.,Increased heart rate,Decreased cardiac output,"Similar-looking mechanism/class, but not the best match for the board clue."
406,408.1,General,A 26-year-old woman comes to the physician with persistent nasal congestion that has worsened over the past two days.,Oxymetazoline,Diphenhydramine,"Similar-looking mechanism/class, but not the best match for the board clue."
407,409.1,General,A 35-year-old woman presents to her primary care physician complaining of poor sleep for the past 3 months.,Check serum iron and ferritin,Begin gabapentin therapy,"Similar-looking mechanism/class, but not the best match for the board clue."
408,410.1,General,Researchers are developing a novel compound that selectively inhibits serotonin reuptake without affecting dopamine or norepinephrine transporters.,Raphe nuclei,Amygdala,"Similar-looking mechanism/class, but not the best match for the board clue."
409,411.1,General,"A 42-year-old woman presents with unintentional weight loss, palpitations, and heat intolerance over the past 3 months.",Intentional ingestion of thyroid hormone supplements,Excessive endogenous hormone production due to TSH receptor–stimulating antibodies,"Similar-looking mechanism/class, but not the best match for the board clue."
410,412.1,General,A 74-year-old woman presents to the emergency department with severe skin discomfort and deep discoloration over her lower abdomen and upper thighs.,Protein C deficiency,Antithrombin III deficiency,"Similar-looking mechanism/class, but not the best match for the board clue."
